id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10
80,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,19-Oct-2017,08:00,108.69,
81,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,19-Oct-2017,12:00,0.0,
82,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,19-Oct-2017,16:00,87.06,
83,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,19-Oct-2017,20:00,317.75,
84,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,20-Oct-2017,00:00,0.0,
85,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,20-Oct-2017,04:00,0.0,
86,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,20-Oct-2017,08:00,0.0,
87,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,20-Oct-2017,12:00,0.0,
88,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,20-Oct-2017,16:00,0.0,
89,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,20-Oct-2017,20:00,0.0,
90,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,21-Oct-2017,00:00,0.0,
91,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,21-Oct-2017,04:00,0.0,
92,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,21-Oct-2017,08:00,13.0,
93,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171014,21-Oct-2017,12:00,26.81,
