id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10,just_date,just_month,just_year
34570,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161021,21-Oct-2016,00:00,,,21,Oct,2016
34571,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161021,21-Oct-2016,04:00,,,21,Oct,2016
34572,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161021,21-Oct-2016,08:00,,,21,Oct,2016
34573,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161021,21-Oct-2016,12:00,,,21,Oct,2016
34574,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161021,21-Oct-2016,16:00,,,21,Oct,2016
34575,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161021,21-Oct-2016,20:00,,,21,Oct,2016
35030,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161021,21-Oct-2016,00:00,,,21,Oct,2016
35031,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161021,21-Oct-2016,04:00,,,21,Oct,2016
35032,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161021,21-Oct-2016,08:00,,,21,Oct,2016
35033,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161021,21-Oct-2016,12:00,,,21,Oct,2016
35034,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161021,21-Oct-2016,16:00,,,21,Oct,2016
35035,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161021,21-Oct-2016,20:00,,,21,Oct,2016
35490,Delhi,"East Arjun Nagar, Delhi - CPCB",site_116,Delhi,run2_delhi_delhi_site_116_20161021,21-Oct-2016,00:00,,,21,Oct,2016
